ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.3275,0.005,0.03,0.3975,0.24
2,0.0,0.0,0.27,0.4775,0.2525
3,0.0,0.0225,0.33,0.0,0.6475
4,0.015,0.4905,0.0075,0.0,0.4870000000000001
5,0.5462500000000001,0.0,0.0,0.37874999999999986,0.075
6,0.0,0.0025,0.49,0.0025,0.505
7,0.9975,0.0,0.0,0.0025,0.0
8,0.0175,0.01,0.0425,0.185,0.745
9,0.0075,0.0,0.1375,0.3221666666666667,0.5328333333333334
10,0.4525,0.0,0.0125,0.2725,0.2625
11,0.09,0.0175,0.0525,0.0975,0.7425
12,0.0,0.0,0.145,0.0,0.855
13,0.935,0.0,0.0025,0.02,0.0425
14,0.0025,0.0125,0.825,0.015,0.145
15,0.535,0.0,0.02,0.045,0.4
16,0.2275,0.0,0.165,0.18,0.4275
17,0.97,0.0,0.0,0.01,0.02
18,0.0,0.0,0.024166666666666666,0.0,0.9758333333333333
19,0.5325,0.0,0.02,0.055,0.3925
20,0.065,0.0,0.0425,0.8775,0.015
21,0.50875,0.0,0.2775,0.17125,0.0425
22,0.0275,0.0,0.005,0.1625,0.805
23,0.553125,0.0,0.01,0.2375,0.199375
24,0.7314583333333333,0.0,0.0025,0.25104166666666666,0.015
25,0.34375000000000006,0.0,0.02,0.55125,0.085
26,0.0,0.0,0.0,0.0,1.0
27,0.1875,0.0,0.0,0.67,0.1425
28,0.725,0.0,0.0225,0.145,0.1075
29,0.0,0.0,0.0,0.0,1.0
30,0.005,0.0,0.03,0.0,0.965
31,0.9225,0.0,0.0025,0.0175,0.0575
32,0.305,0.0,0.0075,0.0575,0.63
33,0.6783333333333335,0.0,0.005,0.30166666666666664,0.015
34,0.19625,0.0,0.03,0.4,0.37375
35,0.575,0.0,0.0675,0.2075,0.15
36,0.3932142857142857,0.0,0.02,0.4225,0.1642857142857143
37,0.4075,0.0,0.01,0.1025,0.48
38,0.2525,0.0,0.0,0.015,0.7325
39,0.61125,0.0,0.0,0.135,0.25375
40,0.0,0.0,0.0,0.0,1.0
41,0.37520833333333337,0.0,0.005,0.105,0.5147916666666668
42,0.6385000000000001,0.0,0.0075,0.03275,0.32125
43,0.0,0.0,0.0,0.0,1.0
44,0.98,0.0,0.0,0.0,0.02
45,0.01,0.0,0.065,0.5975,0.3275
46,0.8275,0.0,0.1675,0.005,0.0
47,0.9525,0.0,0.0,0.0,0.0475
48,0.22770833333333332,0.0,0.000625,0.6691666666666666,0.1025
49,0.4575,0.0,0.23,0.245,0.0675
50,0.7014583333333334,0.0,0.025,0.25354166666666667,0.02
51,0.9775,0.0,0.0,0.0025,0.02
52,0.54,0.0,0.07035119047619047,0.21214880952380955,0.1775
53,0.0,0.0,0.0,0.0,1.0
54,0.23,0.0,0.005,0.3375,0.4275
55,0.0125,0.16979166666666665,0.1575,0.0,0.6602083333333334
56,0.455,0.0,0.035,0.22,0.29
57,0.02,0.0025,0.1,0.195,0.6825
58,0.0475,0.0,0.5225,0.2825,0.1475
59,0.5375,0.0,0.0275,0.2175,0.2175
60,0.0825,0.0,0.0025,0.885,0.03
61,0.59,0.0,0.0,0.26,0.15
62,0.0075,0.005,0.3125,0.0,0.675
63,0.0,0.265,0.04,0.0,0.695
64,0.97125,0.0,0.0,0.0,0.02875
65,0.185,0.0,0.005,0.0175,0.7925
66,0.0,0.0,0.0584375,0.0,0.9415625
67,0.14654166666666668,0.0,0.025958333333333337,0.625,0.2025
68,0.11975,0.0,0.0625,0.37658333333333327,0.44116666666666676
69,0.7625,0.0,0.0,0.0325,0.205
70,0.23,0.0,0.0225,0.6725,0.075
71,0.435,0.0,0.02304166666666667,0.22833333333333333,0.313625
72,0.28204166666666663,0.18125,0.085,0.0025,0.44920833333333327
73,0.8354166666666667,0.0,0.0,0.0175,0.14708333333333332
74,0.4675,0.0,0.0,0.06875,0.46375
75,0.13029166666666667,0.0,0.2825,0.41387500000000005,0.17333333333333337
76,0.0,0.0,0.0125,0.005,0.9825
77,1.0,0.0,0.0,0.0,0.0
78,0.9775,0.0,0.0,0.0,0.0225
79,0.0,0.0,0.09583333333333334,0.0,0.9041666666666666
80,0.585,0.0,0.0425,0.1775,0.195
81,0.0475,0.0,0.365,0.35,0.2375
82,0.35800000000000004,0.0,0.0025,0.28375,0.35574999999999996
83,0.48166666666666663,0.0,0.0,0.4708333333333334,0.0475
84,0.44166666666666665,0.0,0.0175,0.3685416666666667,0.17229166666666668
85,0.0675,0.0075,0.165,0.445,0.315
86,0.645,0.0,0.04,0.0675,0.2475
87,0.0,0.0075,0.16,0.0125,0.82
88,0.03,0.0,0.015,0.0275,0.9275
89,0.0,0.0,0.0975,0.26999999999999996,0.6325
90,0.08,0.0,0.025,0.5675,0.3275
91,0.9575,0.0,0.0,0.01,0.0325
92,0.02875,0.0,0.0175,0.0325,0.92125
93,0.0725,0.0,0.015,0.19812499999999997,0.7143750000000001
94,0.8925,0.0,0.0,0.075,0.0325
95,0.5125,0.0,0.005,0.4025,0.08
96,0.105,0.0,0.0,0.0625,0.8325
97,0.9885833333333334,0.0,0.0,0.0075,0.003916666666666666
98,0.0625,0.0,0.2025,0.4418035714285714,0.2931964285714286
99,0.5675,0.0,0.0,0.1075,0.325
100,0.05,0.0,0.0,0.0225,0.9275
101,0.20875,0.015,0.4825,0.25375,0.04
102,0.0,0.0,0.1625,0.0075,0.83
103,0.0025,0.0,0.02,0.9015625,0.0759375
104,0.27975,0.0,0.0225,0.63025,0.0675
105,0.0475,0.075,0.1625,0.065,0.65
106,0.005,0.1775,0.1825,0.005,0.63
107,0.995,0.0,0.0,0.0,0.005
108,0.235,0.0,0.0575,0.13,0.5775
109,0.26616666666666666,0.0,0.18,0.39508333333333334,0.15875
110,0.03,0.005,0.3175,0.3975,0.25
111,0.68375,0.005,0.0025,0.055,0.25375
112,0.1975,0.0,0.0125,0.0275,0.7625
113,0.1575,0.0175,0.01,0.615,0.2
114,0.0,0.0075,0.0025,0.0,0.99
115,0.1875,0.0125,0.15,0.0,0.65
116,0.125,0.0025,0.0575,0.1325,0.6825
117,0.8807916666666665,0.0,0.0,0.10920833333333332,0.01
118,0.9725,0.0,0.0,0.005,0.0225
119,0.0775,0.00125,0.17125,0.3700416666666666,0.3799583333333334
120,0.085,0.0075,0.5025,0.05,0.355
121,0.1075,0.0,0.0525,0.28,0.56
122,0.005,0.055,0.11666666666666668,0.0,0.8233333333333335
123,0.97,0.0,0.0,0.0,0.03
124,0.12961309523809525,0.0,0.0,0.8703869047619048,0.0
125,0.2425,0.0075,0.2275,0.395,0.1275
126,0.83,0.0,0.0,0.0325,0.1375
127,0.94,0.0,0.0025,0.025,0.0325
128,0.975,0.0,0.0075,0.01,0.0075
129,0.798125,0.0,0.0,0.0,0.201875
130,0.0,0.015,0.3225,0.0175,0.645
131,0.43,0.0,0.005,0.035,0.53
132,0.0,0.0,0.0125,0.0,0.9875
133,0.0,0.0,0.0,0.0,1.0
134,0.7020833333333333,0.0,0.0,0.18,0.11791666666666668
135,0.0,0.0125,0.1175,0.0,0.87
136,0.0,0.0275,0.01,0.0,0.9625
137,0.4275,0.0,0.0425,0.45,0.08
138,0.1075,0.0,0.0175,0.29166666666666663,0.5833333333333334
139,0.525,0.0,0.405,0.0175,0.0525
140,0.646875,0.0,0.0,0.0525,0.300625
141,0.480625,0.0,0.0175,0.396875,0.105
142,0.5275,0.0,0.01,0.41,0.0525
143,0.5998273809523809,0.0,0.025,0.362922619047619,0.01225
144,0.72375,0.005,0.0225,0.1875,0.06125
145,0.6275,0.0,0.0,0.0,0.3725
146,0.015,0.01,0.0025,0.0,0.9725
147,0.6875,0.0,0.0025,0.0825,0.2275
148,0.975,0.0,0.0,0.0225,0.0025
149,0.0,0.0,0.08229166666666667,0.0,0.9177083333333332
150,0.3208333333333333,0.0,0.0275,0.3125,0.3391666666666666
151,0.8125,0.0,0.005,0.13,0.0525
152,0.0775,0.0025,0.0,0.635,0.285
153,0.06,0.0,0.09,0.7575,0.0925
154,0.0675,0.0125,0.1975,0.08,0.6425
155,0.5551666666666667,0.0,0.0175,0.3275,0.09983333333333333
156,0.8425,0.0,0.0,0.005,0.1525
157,0.549875,0.0,0.005,0.187625,0.2575
158,0.8525,0.0,0.0075,0.0225,0.1175
159,0.5387500000000001,0.0,0.0025,0.41124999999999995,0.0475
160,0.4266666666666667,0.0,0.0,0.10083333333333332,0.4725
161,0.841875,0.0,0.0075,0.105625,0.045
162,0.6916666666666665,0.0,0.0,0.2825,0.025833333333333333
163,0.0,0.0,0.0,0.0075,0.9925
164,0.0,0.0008333333333333333,0.08166666666666668,0.0,0.9175
165,0.9725,0.0,0.0,0.0075,0.02
166,0.43625,0.0,0.115,0.3095833333333334,0.1391666666666667
167,0.705,0.005,0.04,0.1275,0.1225
168,0.13,0.0,0.0,0.8625,0.0075
169,0.22,0.0,0.0075,0.105,0.6675
170,0.90875,0.0,0.0,0.035,0.05625
171,0.0,0.005,0.0025,0.0,0.9925
172,0.0525,0.0,0.015,0.245,0.6875
173,0.85,0.0,0.0025,0.115,0.0325
174,0.0025,0.01,0.021458333333333336,0.0,0.9660416666666667
175,0.0025,0.005,0.1225,0.0,0.87
176,0.2625,0.0,0.0625,0.5825,0.0925
177,0.04,0.0,0.025,0.125,0.81
178,0.82,0.0,0.0,0.0625,0.1175
179,0.911875,0.0,0.0,0.0225,0.065625
180,0.0925,0.0,0.0225,0.6125,0.2725
181,0.0,0.0375,0.02,0.0025,0.94
182,0.6516666666666666,0.0,0.0025,0.3308333333333333,0.015
183,0.2625,0.0,0.0575,0.6175,0.0625
184,0.3575,0.0025,0.0225,0.5133333333333333,0.10416666666666669
185,0.0,0.0,0.035,0.0,0.965
186,0.9260416666666668,0.0,0.0,0.05395833333333333,0.02
187,0.3675,0.0,0.005,0.1075,0.52
188,0.7591666666666665,0.0,0.0,0.2033333333333333,0.0375
189,0.145,0.01,0.1025,0.555,0.1875
190,0.466,0.0,0.0175,0.18233333333333335,0.33416666666666667
191,0.951875,0.0,0.0,0.0175,0.030625
192,0.07,0.0,0.0425,0.5525,0.335
193,0.9866666666666666,0.0,0.0,0.003333333333333333,0.01
194,0.4531666666666667,0.0,0.0125,0.5168333333333334,0.0175
195,0.5160446428571427,0.0,0.0,0.46162202380952394,0.022333333333333334
196,0.0625,0.0,0.0175,0.04333333333333334,0.8766666666666667
197,0.7970833333333333,0.0,0.0,0.06041666666666667,0.1425
198,0.88,0.0,0.0,0.025,0.095
199,0.5625,0.0,0.01,0.300125,0.12737500000000002
200,0.605,0.0,0.005,0.0225,0.3675
201,0.0,0.0,0.04261904761904762,0.0025,0.9548809523809524
202,0.1225,0.0325,0.1375,0.0925,0.615
203,0.0,0.04,0.2175,0.0,0.7425
204,0.9075,0.0,0.0,0.0625,0.03
205,0.0,0.0,0.105,0.07,0.825
206,0.025,0.0,0.3925,0.15,0.4325
207,0.035,0.01,0.165,0.295,0.495
208,0.25,0.0025,0.0275,0.2025,0.5175
209,0.29,0.0,0.4525,0.175,0.0825
210,0.8920833333333335,0.0,0.0,0.08916666666666667,0.01875
211,0.0025,0.1275,0.1125,0.0,0.7575
212,0.0175,0.0,0.0025,0.0,0.98
213,0.813125,0.0,0.0,0.136875,0.05
214,0.819625,0.0,0.0,0.061875,0.1185
215,0.8041666666666666,0.0,0.005,0.14708333333333334,0.04375
216,0.2716666666666667,0.0,0.0,0.7031249999999999,0.02520833333333333
217,0.18,0.005,0.14,0.5075,0.1675
218,0.4210833333333334,0.0,0.0,0.5664166666666666,0.0125
219,0.0175,0.3975,0.0125,0.0025,0.57
220,0.0525,0.0,0.015,0.09,0.8425
221,0.6475,0.0,0.0,0.2925,0.06
222,0.05,0.0,0.02,0.0825,0.8475
223,0.0025,0.005,0.06,0.003333333333333333,0.9291666666666666
224,0.0525,0.0075,0.0425,0.0,0.8975
225,0.63,0.0,0.0025,0.0975,0.27
226,0.0,0.06,0.17149999999999999,0.035,0.7334999999999999
227,0.0875,0.0,0.1775,0.5475,0.1875
228,0.8425,0.0,0.0,0.0075,0.15
229,0.865,0.0,0.0125,0.12,0.0025
230,0.2025,0.0,0.015,0.5275,0.255
231,0.845,0.0,0.0,0.0,0.155
232,0.24687499999999996,0.0,0.005,0.6256249999999999,0.1225
233,0.91,0.0025,0.0,0.0025,0.085
234,0.2725,0.0,0.0,0.67,0.0575
235,0.21916666666666665,0.0075,0.0125,0.0025,0.7583333333333334
236,0.49,0.0,0.02083333333333333,0.28662499999999996,0.2025416666666667
237,0.875,0.0,0.005,0.0975,0.0225
238,0.0075,0.0,0.0375,0.045,0.91
239,0.225,0.0,0.0025,0.6125,0.16
240,0.245,0.0,0.0375,0.125,0.5925
241,0.9925,0.0,0.0,0.005,0.0025
242,0.0,0.0,0.0225,0.0,0.9775
243,0.8825,0.0,0.1175,0.0,0.0
244,0.4075,0.0,0.015,0.0225,0.555
245,0.7,0.0,0.0,0.0125,0.2875
246,0.8346250000000001,0.0,0.0,0.127875,0.0375
247,0.31,0.0,0.035,0.5925,0.0625
248,0.10083333333333334,0.0,0.2375,0.2725416666666667,0.389125
249,0.0,0.095,0.0675,0.0,0.8375
250,0.6825,0.0,0.0225,0.045,0.25
251,0.02,0.0,0.0075,0.0,0.9725
252,0.98,0.0,0.0,0.0025,0.0175
253,0.1875,0.0,0.015,0.08,0.7175
254,0.9975,0.0,0.0,0.0,0.0025
255,0.5575,0.0,0.015,0.2808333333333333,0.14666666666666667
256,0.3125,0.005,0.1025,0.2275,0.3525
257,0.44,0.0,0.01,0.0125,0.5375
258,0.005,0.0075,0.0075,0.0075,0.9725
259,0.1675,0.0,0.01,0.0275,0.795
260,0.53625,0.0,0.0025,0.45,0.01125
261,0.0025,0.0175,0.2225,0.0025,0.755
262,1.0,0.0,0.0,0.0,0.0
263,1.0,0.0,0.0,0.0,0.0
264,0.005,0.0175,0.0625,0.0025,0.9125
265,0.08437500000000002,0.0,0.005,0.5239583333333333,0.38666666666666666
266,0.0625,0.0,0.0975,0.0275,0.8125
267,0.639375,0.0,0.0025,0.083125,0.275
268,0.5375,0.005,0.02,0.0,0.4375
269,0.153125,0.0,0.04,0.2625,0.544375
270,0.7176964285714287,0.0,0.015875,0.14909523809523811,0.11733333333333333
271,0.5160416666666667,0.0,0.0025,0.0875,0.39395833333333335
272,0.0675,0.0,0.0,0.03,0.9025
273,0.1525,0.0,0.01,0.6,0.2375
274,0.304375,0.0,0.01,0.480625,0.205
275,0.3775,0.0,0.0325,0.345,0.245
276,0.145,0.0,0.005,0.21,0.64
277,0.29375,0.0,0.0275,0.07875,0.6
278,0.0,0.01,0.0675,0.0,0.9225
279,0.485,0.0,0.06,0.3931666666666666,0.061833333333333323
280,0.825,0.0,0.0,0.05,0.125
281,0.0,0.155,0.2875,0.075,0.4825
282,0.1575,0.0175,0.215,0.3325,0.2775
283,0.91875,0.0,0.005,0.005,0.07125
284,0.0,0.01,0.005,0.0,0.985
285,0.7825,0.0,0.0,0.035,0.1825
286,0.1275,0.0,0.015,0.21625,0.64125
287,0.9425,0.0,0.0125,0.04,0.005
288,0.58,0.0175,0.0825,0.215,0.105
289,0.9975,0.0,0.0,0.0,0.0025
290,0.5975,0.0,0.0,0.38,0.0225
291,0.11,0.015,0.1575,0.5475,0.17
292,0.470625,0.0025,0.01,0.399375,0.1175
293,0.9575,0.0,0.0025,0.0125,0.0275
294,0.9975,0.0,0.0,0.0,0.0025
295,0.0,0.0,0.0,0.0,1.0
296,0.0075,0.0,0.0375,0.045,0.91
297,0.965,0.0,0.0,0.0,0.035
298,0.925,0.0,0.0,0.0175,0.0575
299,0.4344583333333331,0.0,0.02,0.199375,0.34616666666666673
300,0.195,0.0025,0.005,0.59,0.2075
301,0.8466666666666667,0.0175,0.0125,0.0475,0.07583333333333334
302,0.0075,0.0025,0.2925,0.5007083333333333,0.19679166666666667
303,0.5725,0.0,0.0725,0.26,0.095
304,0.33,0.0,0.0,0.0,0.67
305,0.0,0.0,0.0025,0.0,0.9975
306,0.66,0.0025,0.0175,0.17,0.15
307,0.185,0.0,0.0125,0.03,0.7725
308,0.5175,0.145,0.0225,0.145,0.17
309,0.015,0.0025,0.0475,0.0425,0.8925
310,0.0,0.0,0.027916666666666666,0.0,0.9720833333333333
311,0.0,0.0,0.035,0.0,0.965
312,0.9725,0.0,0.0,0.0025,0.025
313,0.49,0.0,0.0025,0.0675,0.44
314,0.0325,0.0,0.0075,0.225,0.735
315,0.215,0.0025,0.0125,0.4175,0.3525
316,0.175,0.0,0.0025,0.7525,0.07
317,0.6825,0.0,0.0,0.21645833333333336,0.10104166666666665
318,0.8325,0.0,0.0,0.1675,0.0
319,0.0225,0.0,0.0075,0.2225,0.7475
320,0.0,0.0,0.1925,0.0025,0.805
321,0.4325,0.0,0.01,0.195,0.3625
322,0.5447500000000001,0.0,0.055,0.26958333333333334,0.13066666666666665
323,0.5975,0.0,0.04,0.07,0.2925
324,0.0,0.0,0.0025,0.0,0.9975
325,1.0,0.0,0.0,0.0,0.0
326,0.7325,0.0,0.0,0.03875,0.22875
327,0.325,0.0075,0.17639583333333342,0.46360416666666665,0.0275
328,0.0075,0.0125,0.5975,0.0125,0.37
329,0.0,0.08,0.025,0.0,0.895
330,0.74375,0.0,0.0125,0.13625,0.1075
331,0.9883333333333334,0.0,0.0,0.0025,0.009166666666666667
332,0.0075,0.01,0.5366666666666667,0.035,0.4108333333333333
333,0.99,0.0,0.0025,0.0,0.0075
334,0.12,0.01,0.2075,0.1175,0.545
335,0.5345833333333334,0.0,0.0,0.16541666666666666,0.3
336,0.9875,0.0,0.0,0.005,0.0075
337,0.325,0.0,0.02,0.57,0.085
338,0.235,0.005,0.1125,0.055,0.5925
339,0.38426785714285716,0.0025,0.0075,0.0,0.6057321428571428
340,0.45875,0.0025,0.0125,0.1275,0.39875
341,0.0025,0.0,0.106875,0.0,0.890625
342,0.0,0.0,0.1875,0.08,0.7325
343,0.95,0.0,0.0,0.005,0.045
344,0.105,0.0,0.14,0.1425,0.6125
345,0.0225,0.0025,0.040124999999999994,0.0175,0.9173749999999999
346,0.8775,0.0,0.0,0.0025,0.12
347,0.0,0.0,0.0,0.0,1.0
348,0.9525,0.0,0.0,0.0125,0.035
349,0.60375,0.01,0.0725,0.10875,0.205
350,0.3695833333333334,0.0,0.005,0.4020833333333333,0.22333333333333333
351,0.96125,0.0,0.0,0.03625,0.0025
352,0.0,0.015,0.075,0.0,0.91
353,0.46016666666666667,0.0,0.0,0.03233333333333333,0.5075
354,0.215,0.0025,0.0975,0.165,0.52
355,0.0025,0.005,0.1925,0.0,0.8
356,0.31,0.01,0.0225,0.0025,0.655
357,0.7825,0.0,0.0,0.03,0.1875
358,0.50125,0.0,0.02625,0.355,0.1175
359,0.1602083333333333,0.0,0.0025,0.1075,0.7297916666666667
360,0.0,0.0,0.0025,0.0,0.9975
361,0.3451607142857142,0.0,0.0125,0.4523392857142857,0.19
362,0.0175,0.0,0.1075,0.6625,0.2125
363,0.7425,0.0,0.0725,0.055,0.13
364,0.995,0.0,0.0,0.0,0.005
365,0.27,0.0,0.0175,0.0725,0.64
366,0.4158333333333333,0.0,0.0,0.13104166666666667,0.45312499999999994
367,0.0175,0.0,0.115,0.0025,0.865
368,0.0,0.0,0.0,0.0,1.0
369,0.2825,0.0025,0.035,0.2075,0.4725
370,0.26441666666666663,0.0,0.01,0.4275,0.29808333333333337
371,0.975,0.0,0.0,0.0025,0.0225
372,0.8875,0.0,0.0,0.015,0.0975
373,0.9925,0.0,0.0,0.0025,0.005
374,0.19875,0.0,0.04125,0.40125,0.35875
375,0.015,0.0025,0.7775,0.0025,0.2025
376,0.12919642857142857,0.0,0.0,0.5535119047619047,0.3172916666666667
377,0.395,0.0,0.01,0.325,0.27
378,0.4258333333333333,0.02,0.0075,0.0,0.5466666666666666
379,0.0,0.0,0.015,0.0,0.985
